id,name,name_scientific,food_frequency
371,Florida pompano,Trachinotus carolinus,1
372,Ginkgo nuts,Ginkgo biloba,1
373,Greylag goose,Anser anser,1
374,Grape,Vitis,1
375,Greenland halibut/turbot,Reinhardtius hippoglossoides,1
376,Groundcherry,Physalis,1
377,Grouper,Epinephelus,1
378,Guinea hen,Numida meleagris,1
379,Haddock,Melanogrammus aeglefinus,1
380,Hippoglossus (Common halibut),Hippoglossus,1
381,Hazelnut,Corylus,1
382,Hickory nut,Carya,1
383,Horse,Equus caballus,1
384,Horseradish tree,Moringa oleifera,1
385,Alaska blueberry,Vaccinium alaskaense,1
386,Hyacinth bean,Lablab purpureus,1
387,Irish moss,Chondrus crispus,1
388,Pacific jack mackerel,Trachurus symmetricus,1
389,Jackfruit,Artocarpus heterophyllus,1
390,Japanese chestnut,Castanea crenata,1
391,Java plum,Syzygium cumini,1
392,Jerusalem artichoke,Helianthus tuberosus,1
393,Jujube,Ziziphus zizyphus,1
394,Jute,Corchorus olitorius,1
395,Kale,Brassica napus var. pabularia,1
396,Kelp,Laminaria,1
397,King mackerel,Scomberomorus cavalla,1
398,Kumquat,Fortunella,1
399,Lambsquarters,Chenopodium album,1
400,Leather chiton,Katharina tunicata,1
401,Wild leek,Allium ampeloprasum,1
402,Common ling,Molva molva,1
403,Lingcod,Ophiodon elongatus,1
404,American lobster,Homarus americanus,1
405,Loganberry,Rubus loganobaccus,1
406,Lotus,Nelumbo,1
407,Sacred lotus,Nelumbo nucifera,1
408,White lupine,Lupinus albus,1
409,Malabar spinach,Basella alba,1
410,Mammee apple,Mammea americana,1
411,Purple mangosteen,Garcinia mangostana,1
412,Alpine sweetvetch,Hedysarum alpinum,1
413,Milkfish,Chanos chanos,1
414,Monkfish,Lophius piscatorius,1
416,Moth bean,Vigna aconitifolia,1
417,Mountain yam,Dioscorea pentaphylla,1
418,Striped mullet,Mugil cephalus,1
420,White mustard,Sinapis alba,1
421,Mustard spinach,Brassica perviridis,1
422,New Zealand spinach,Tetragonia tetragonioides,1
423,Nopal,Opuntia cochenillifera,1
424,Ocean pout,Zoarces americanus,1
425,North Pacific giant octopus,Enteroctopus dofleini,1
426,Ohelo berry,Vaccinium reticulatum,1
427,Okra,Abelmoschus esculentus,1
428,Tunicate,Tunicata,1
430,Ostrich,Struthio camelus,1
431,Spotted seal,Phoca largha,1
432,Pacific herring,Clupea pallasii,1
433,Pacific oyster,Crassostrea gigas,1
434,Pacific rockfish,Sebastes,1
435,Velvet duck,Melanitta fusca,1
436,Pepper (C. frutescens),Capsicum annuum var. annuum,1
437,Common persimmon,Diospyros virginiana,1
438,Pheasant,Phasianus colchicus,1
439,Northern pike,Esox lucius,1
440,Pili nut,Canarium ovatum,1
441,Colorado pinyon,Pinus edulis,1
442,Pitanga,Eugenia uniflora,1
443,Plains prickly pear,Opuntia macrorhiza,1
444,French plantain,Musa X paradisiaca,1
445,American pokeweed,Phytolacca americana,1
447,Opium poppy,Papaver somniferum,1
448,Prairie turnip,Pediomelum esculentum,1
449,Prickly pear,Opuntia,1
450,Quinoa,Chenopodium quinoa,1
451,European rabbit,Oryctolagus,1
453,Rainbow smelt,Osmerus mordax,1
454,Rainbow trout,Oncorhynchus mykiss,1
455,Malabar plum,Syzygium jambos,1
456,Rose hip,Rosa,1
457,Roselle,Hibiscus sabdariffa,1
458,Orange roughy,Hoplostethus atlanticus,1
459,Sablefish,Anoplopoma fimbria,1
460,Pink salmon,Oncorhynchus gorbuscha,1
461,Chum salmon,Oncorhynchus keta,1
462,Coho salmon,Oncorhynchus kisutch,1
463,Sockeye salmon,Oncorhynchus nerka,1
464,Chinook salmon,Oncorhynchus tshawytscha,1
465,Atlantic salmon,Salmo salar,1
466,Salmonberry,Rubus spectabilis,1
467,Common salsify,Tragopogon porrifolius,1
468,Sapodilla,Manilkara zapota,1
469,Mamey sapote,Pouteria sapota,1
470,Spanish mackerel,Scomberomorus maculatus,1
471,Pacific sardine,Sardinops sagax,1
472,Scallop,Pectinidae,1
473,Scup,Stenotomus chrysops,1
474,Sea cucumber,Parastichopus californicus,1
475,Steller sea lion,Eumetopias jubatus,1
476,Bearded seal,Erignathus barbatus,1
477,Ringed seal,Pusa hispida,1
478,Sea trout,Salmo trutta forma trutta,1
479,Sesbania flower,Sesbania bispinosa,1
480,American shad,Alosa sapidissima,1
481,Shark,Squaliformes,1
482,Sheefish,Stenodus leucichthys,1
483,"Sheep (Mutton, Lamb)",Ovis aries,1
484,Sheepshead,Archosargus probatocephalus,1
485,Hedge mustard,Sisymbrium,1
486,Skipjack tuna,Katsuwonus pelamis,1
487,Snapper,Lutjanidae,1
488,Soursop,Annona muricata,1
489,Spelt,Triticum spelta,1
490,Spirulina,Spirulina,1
491,Squab,Columba,1
493,Strawberry guava,Psidium cattleianum,1
494,Greater sturgeon,Acipenser,1
495,White sucker,Catostomus commersonii,1
496,Sugar apple,Annona squamosa,1
497,Pumpkinseed sunfish,Lepomis gibbosus,1
498,Swordfish,Xiphias gladius,1
499,Taro,Colocasia esculenta,1
500,Teff,Eragrostis tef,1
501,Tilefish,Lopholatilus chamaeleonticeps,1
502,Mexican groundcherry,Physalis philadelphica var. immaculata,1
503,Towel gourd,Luffa aegyptiaca,1
504,"Salmonidae (Salmon, Trout)",Salmonidae,1
505,Turkey,Meleagris gallopavo,1
506,"Cattle (Beef, Veal)",Bos taurus,1
507,Walleye,Sander vitreus,1
508,Alaska pollock,Theragra chalcogramma,1
509,Wasabi,Wasabia japonica,1
510,Wax gourd,Benincasa hispida,1
511,Whelk,Buccinidae,1
512,Coalfish pollock,Pollachius virens,1
513,Broad whitefish,Coregonus nasus,1
514,Whitefish,Coregonus,1
515,Whiting,Merlangius merlangus,1
516,Wild rice,Zizania,1
517,Tea leaf willow,Salix pulchra,1
518,Winged bean,Psophocarpus tetragonolobus,1
519,Yam,Dioscorea,1
520,Jicama,Pachyrhizus erosus,1
521,Yautia,Xanthosoma sagittifolium,1
522,Yellowfin tuna,Thunnus albacares,1
523,Yellowtail amberjack,Seriola lalandi,1
524,Pollock,Pollachius,1
525,Albacore tuna,Thunnus alalunga,1
526,Gadus (Common cod),Gadus,1
527,Atlantic halibut,Hippoglossus hippoglossus,1
528,Pacific halibut,Hippoglossus stenolepis,1
529,Pacific salmon,Oncorhynchus,1
530,Smelt,Osmeridae,1
531,"Clupeinae (Herring, Sardine, Sprat)",Clupeinae,1
532,Spiny lobster,Palinuridae,1
533,Snow crab,Chionoecetes opilio,1
534,Black-eyed pea,Vigna unguiculata ssp. unguiculata,1
535,Deer,Cervidae,1
536,Macadamia nut,Macadamia,1
537,Percoidei (Bass and others),Percoidei,1
538,Perciformes,Perciformes,1
540,Rabbit,Leporidae,1
541,Domestic goat,Capra aegagrus hircus,1
542,Beefalo,Bos taurus X Bison bison,1
544,"Bivalvia (Clam, Mussel, Oyster)",Bivalvia,1
545,Squid,Teuthida,1
546,Shrimp,Caridea,1
547,Crayfish,Astacidea,1
548,Flatfish,Pleuronectiformes,1
549,Domestic pig,Sus scrofa domestica,1
550,Walrus,Odobenus rosmarus,1
551,Alaska wild rhubarb,Polygonum alpinum,1
552,Oriental wheat,Triticum turanicum,1
553,Yardlong bean,Vigna unguiculata ssp. sesquipedalis,1
555,Quail,Phasianidae,1
556,Boysenberry,Rubus ursinus X idaeus,1
557,Persian lime,Citrus latifolia,1
558,Feijoa,Feijoa sellowiana,1
559,Rowal,Pangium edule,1
560,Jew's ear,Auricularia auricula-judae,1
561,Common mushroom,Agaricus bisporus,1
562,Shiitake,Lentinus edodes,1
563,Purple laver,Porphyra laciniata,1
564,Wakame,Undaria pinnatifida,1
565,Enokitake,Flammulina velutipes,1
566,Epazote,Dysphania ambrosioides,1
567,Oyster mushroom,Pleurotus ostreatus,1
568,Cloud ear fungus,Auricularia polytricha,1
569,Maitake,Grifola frondosa,1
570,Ostrich fern,Matteuccia struthiopteris,1
571,Spot croaker,Leiostomus xanthurus,1
572,Sourdock,Rumex articus,1
573,Tinda,Citrullus lanatus var. fistulosus,1
574,Atlantic menhaden,Brevoortia tyrannus,1
575,Wheat,Triticum,1
576,Common chokecherry,Prunus virginiana,1
577,Agave,Agave,1
578,Narrowleaf cattail,Typha angustifolia,1
579,Jellyfish,Scyphozoa,1
580,Anchovy,Engraulidae,1
581,Blue whiting,Micromesistius poutassou,1
582,Carp bream,Abramis brama,1
583,Chanterelle,Cantharellus cibarius,1
584,Sturgeon,Acipenseridae,1
585,Charr,Salvelinus,1
586,Cinnamon,Cinnamomum,1
587,Crab,Brachyura,1
588,Common dab,Limanda limanda,1
589,Spiny dogfish,Squalus acanthias,1
590,Anatidae,Anatidae,1
591,Anguilliformes,Anguilliformes,1
592,True frog,Ranidae,1
593,Garfish,Belone belone,1
594,Gadiformes,Gadiformes,1
595,Mountain hare,Lepus timidus,1
596,Lake trout,Salvelinus namaycush,1
597,Lemon sole,Microstomus kitt,1
598,Clawed lobster,Nephropidae,1
599,Lumpsucker,Cyclopteridae,1
600,"Scombridae (Bonito, Mackerel, Tuna)",Scombridae,1
601,Marine mussel,Mytilidae,1
602,Norway haddock,Sebastes viviparus,1
603,Norway lobster,Nephrops norvegicus,1
604,Norway pout,Trisopterus esmarkii,1
605,Oil palm,Elaeis,1
606,True oyster,Ostreidae,1
607,Sago palm,Metroxylon sagu,1
608,Persimmon,Diospyros,1
609,Pikeperch,Sander lucioperca,1
610,"Pleuronectidae (Dab, Halibut, Plaice)",Pleuronectidae,1
611,Rock ptarmigan,Lagopus muta,1
612,Pacific ocean perch,Sebastes alutus,1
613,Black salsify,Scorzonera hispanica,1
614,True seal,Phocidae,1
615,Red algae,Rhodophyta,1
616,Kombu,Saccharina japonica,1
617,Snail,Gastropoda,1
618,True sole,Soleidae,1
619,Catfish,Siluriformes,1
620,Thistle,Cirsium,1
621,Thunnus,Thunnus,1
622,Walnut,Juglans,1
623,"Cetacea (Dolphin, Porpoise, Whale)",Cetacea,1
624,"Columbidae (Dove, Pigeon)",Columbidae,1
625,Conch,Strombidae,1
626,Grape wine,NA,1
627,Berry wine,NA,1
628,Other wine,NA,1
629,Apple cider,NA,1
630,Liquor,NA,1
631,Cheese,NA,1
632,Milk (Cow),NA,1
633,Eggs,NA,1
634,Yogurt,NA,1
638,Bean,NA,1
639,Vodka,NA,1
640,Whisky,NA,1
641,Ice cream,NA,1
642,Gin,NA,1
643,Honey,NA,1
644,Liquorice,NA,1
645,Vinegar,NA,1
646,Rum,NA,1
647,Port wine,NA,1
648,Vermouth,NA,1
649,Sherry,NA,1
650,Madeira wine,NA,1
651,Nougat,NA,1
653,Toffee,NA,1
654,Cake,NA,1
655,Pizza,NA,1
656,Ymer,NA,1
657,Other snack food,NA,1
659,Crisp bread,NA,1
660,Pastry,NA,1
661,Dragée,NA,1
662,Chewing gum,NA,1
663,Marzipan,NA,1
664,Salad dressing,NA,1
665,Sauce,NA,1
666,Salt,NA,1
667,Butter,NA,1
668,Butter substitute,NA,1
669,Cream,NA,1
670,Sugar,NA,1
671,Sausage,NA,1
672,Meatball,NA,1
673,Mustard,NA,1
674,Pate,NA,1
676,Sugar substitute,NA,1
677,Meat bouillon,NA,1
679,Whey,NA,1
680,Casein,NA,1
681,Fruit preserve,NA,1
682,Leavening agent,NA,1
683,Marshmallow,NA,1
684,Gelatin,NA,1
685,Water,NA,1
686,Other fish product,NA,1
687,Milk (Human),NA,1
689,Other beverage,NA,1
690,Baby food,NA,1
691,Dumpling,NA,1
692,Soup,NA,1
693,Other vegetable product,NA,1
694,Unclassified food or beverage,NA,1
695,Syrup,NA,1
696,Tallow,NA,1
697,Remoulade,NA,1
698,Chocolate spread,NA,1
699,Fruit gum,NA,1
700,Curry powder,NA,1
701,Other candy,NA,1
702,Meringue,NA,1
703,Lard,NA,1
704,Other animal fat,NA,1
705,Other cocoa product,NA,1
706,Cocoa butter,NA,1
707,Cocoa powder,NA,1
708,Cocoa liquor,NA,1
709,Chocolate,NA,1
710,Hot chocolate,NA,1
711,Dried milk,NA,1
712,Milk (Other mammals),NA,1
713,Kefir,NA,1
714,Buttermilk,NA,1
715,Other fermented milk,NA,1
716,Soy sauce,NA,1
717,Miso,NA,1
718,Tofu,NA,1
721,Zwieback,NA,1
722,Roe,NA,1
723,Cichlidae (Tilapia),Cichlidae,1
724,Icing,NA,1
725,Snack bar,NA,1
726,Green turtle,Chelonia mydas,1
727,Energy drink,NA,1
728,Burrito,NA,1
729,Hamburger,NA,1
730,Baked beans,NA,1
731,Chili,NA,1
732,Taco,NA,1
733,Tortilla,NA,1
734,Nachos,NA,1
735,Processed cheese,NA,1
736,Salad,NA,1
737,Cream substitute,NA,1
738,Dulce de leche,NA,1
739,Topping,NA,1
740,Sweet custard,NA,1
742,Egg roll,NA,1
743,Heart of palm,NA,1
744,Popcorn,NA,1
745,Potato chip,NA,1
746,Tortilla chip,NA,1
747,Corn chip,NA,1
748,Hibiscus tea,Hibiscus sabbariffa,1
749,Stew,NA,1
750,Gelatin dessert,NA,1
